epoch,trainnum,loss
1,10,309.2690856933594
1,20,322.74811401367185
1,30,311.12131652832034
1,40,294.2747329711914
1,50,275.10594635009767
1,60,349.64115753173826
1,70,266.99256439208983
1,80,326.3124237060547
1,90,262.35613708496095
1,100,320.84595489501953
1,110,291.27611541748047
1,120,321.86389923095703
1,130,290.3337677001953
1,140,323.73962249755857
1,150,324.0891403198242
1,160,320.818798828125
1,170,303.1480377197266
1,180,311.70642852783203
1,190,295.304020690918
1,200,309.05967712402344
1,210,299.37362213134764
1,220,342.30982971191406
1,230,273.1975158691406
1,240,313.7454315185547
1,250,318.96303100585936
1,260,284.21537017822266
1,270,308.2527389526367
1,280,330.27693939208984
1,290,316.69606323242186
1,300,293.6834091186523
1,310,314.1704559326172
1,320,336.87302856445314
1,330,314.45639953613284
1,340,310.71238403320314
1,350,313.05369262695314
1,360,318.6902374267578
1,370,306.3653106689453
1,380,286.62796783447266
1,390,303.0802917480469
1,400,325.4524169921875
1,410,310.50038757324216
1,420,319.03774108886716
1,430,309.4517532348633
1,440,308.8133605957031
1,450,307.886784362793
1,460,308.2706359863281
1,470,308.00798950195315
1,480,310.5711868286133
1,490,295.7551239013672
1,500,296.24861602783204
1,510,290.1031524658203
1,520,293.54102783203126
1,530,324.12489929199216
1,540,294.30789947509766
1,550,284.7440887451172
1,560,314.8280822753906
1,570,293.92038879394534
1,580,303.9005187988281
1,590,317.99353485107423
1,600,310.91678924560546
1,610,309.1869781494141
1,620,310.04678802490236
1,630,284.79940032958984
1,640,305.71983489990237
1,650,277.8024154663086
1,660,326.7141845703125
1,670,291.3244659423828
1,680,302.7045181274414
1,690,311.1758758544922
1,700,292.4278366088867
1,710,303.76102752685546
1,720,288.19313354492186
1,730,291.6966491699219
1,740,274.04638671875
1,750,313.3384735107422
1,760,285.22837524414064
1,770,318.74796295166016
1,780,293.04176635742186
1,790,308.9653015136719
1,800,312.91676635742186
1,810,309.9875732421875
1,820,339.2377243041992
1,830,310.6638214111328
1,840,302.8421569824219
1,850,310.82631530761716
1,860,302.3554412841797
1,870,285.6636199951172
1,880,304.69079742431643
1,890,297.4164184570312
1,900,285.8046676635742
1,910,287.8597869873047
1,920,298.5427276611328
1,930,295.4048706054688
1,940,296.1342742919922
1,950,291.00047607421874
1,960,334.0460235595703
1,970,266.9464645385742
1,980,299.86109313964846
1,990,298.87315368652344
1,1000,316.89439392089844
1,1010,293.02357177734376
1,1020,319.9443298339844
1,1030,302.31124725341795
1,1040,297.93116302490233
1,1050,283.68421325683596
1,1060,314.509782409668
1,1070,280.92479248046874
1,1080,315.92145080566405
1,1090,309.1952667236328
1,1100,319.9384033203125
1,1110,291.8356231689453
1,1120,300.8003692626953
1,1130,309.90211791992186
1,1140,286.18651428222654
1,1150,313.93436126708986
1,1160,304.609423828125
1,1170,314.0203521728516
1,1180,292.82505493164064
1,1190,306.53916320800784
2,10,633.5123809814453
2,20,307.9972549438477
2,30,330.6361480712891
2,40,296.2826721191406
2,50,302.6332580566406
2,60,314.2102783203125
2,70,313.1425491333008
2,80,303.98863983154297
2,90,300.2815856933594
2,100,271.6774047851562
2,110,311.2784133911133
2,120,303.7031539916992
2,130,309.34176177978514
2,140,268.9583084106445
2,150,322.5963821411133
2,160,315.1182342529297
2,170,295.04200134277346
2,180,290.25088958740236
2,190,299.0485900878906
2,200,301.7329666137695
2,210,318.14942321777346
2,220,305.69188232421874
2,230,298.193896484375
2,240,297.0983657836914
2,250,305.04129180908205
2,260,296.5656265258789
2,270,316.43458862304686
2,280,302.03893890380857
2,290,309.57963409423826
2,300,303.4012222290039
2,310,306.3658157348633
2,320,310.45569610595703
2,330,290.63319091796876
2,340,306.72230529785156
2,350,278.4461013793945
2,360,277.6926864624023
2,370,311.73646087646483
2,380,324.4192840576172
2,390,281.4817230224609
2,400,318.26233367919923
2,410,304.03381500244143
2,420,269.91226348876955
2,430,319.91426239013674
2,440,315.4845443725586
2,450,309.32762451171874
2,460,290.46416931152345
2,470,299.08392333984375
2,480,288.2488311767578
2,490,266.56665191650393
2,500,306.53729858398435
2,510,306.33421936035154
2,520,319.1886932373047
2,530,277.85826110839844
2,540,292.2763732910156
2,550,274.4911346435547
2,560,330.79383850097656
2,570,328.52455749511716
2,580,311.9197967529297
2,590,301.71669616699216
2,600,312.11586303710936
2,610,317.9125946044922
2,620,291.281494140625
2,630,306.10852203369143
2,640,299.9591400146484
2,650,294.1862289428711
2,660,301.71615142822264
2,670,307.8363739013672
2,680,295.1539016723633
2,690,314.8236251831055
2,700,297.05326690673826
2,710,286.2244369506836
2,720,309.17112731933594
2,730,288.09351654052733
2,740,330.2126983642578
2,750,311.7916320800781
2,760,311.3313812255859
2,770,304.6662628173828
2,780,321.6227111816406
2,790,306.1423828125
2,800,300.6810699462891
2,810,308.41961669921875
2,820,308.1734954833984
2,830,294.97972412109374
2,840,300.54967041015624
2,850,316.7480529785156
2,860,309.5217315673828
2,870,302.8420043945313
2,880,300.3983673095703
2,890,297.26987915039064
2,900,295.07423706054686
2,910,269.0392700195313
2,920,317.90574798583987
2,930,315.4224456787109
2,940,299.01928558349607
2,950,309.86011657714846
2,960,298.707585144043
2,970,297.6452972412109
2,980,307.37367858886716
2,990,294.4497543334961
2,1000,285.2976531982422
2,1010,338.13658142089844
2,1020,335.67328186035155
2,1030,296.92030639648436
2,1040,289.91995391845705
2,1050,300.8208374023437
2,1060,299.72699279785155
2,1070,299.5659210205078
