epoch,trainnum,loss
1,10,1979.6847950458528
1,20,5.2434076309204105
1,30,5.321236586570739
1,40,4.678472685813904
1,50,5.384616041183472
1,60,4.534410047531128
1,70,4.389615297317505
1,80,4.133271193504333
1,90,4.426291036605835
1,100,3.951381778717041
1,110,4.139235925674439
1,120,3.9412145137786867
1,130,4.071380615234375
1,140,3.8986281633377073
1,150,4.0804214715957645
1,160,4.023565816879272
1,170,3.8025009393692017
1,180,3.940234565734863
1,190,3.9041691541671755
1,200,3.9288126468658446
1,210,4.091125440597534
1,220,3.747016930580139
1,230,3.9493094205856325
1,240,3.8255225896835325
1,250,3.748911952972412
1,260,3.9835944175720215
1,270,4.025720858573914
1,280,3.8986472606658937
1,290,3.9369040012359617
1,300,3.88806791305542
1,310,3.7769287109375
1,320,3.644349145889282
1,330,4.04966037273407
1,340,3.772784185409546
1,350,4.03684766292572
1,360,3.9582488775253295
1,370,4.010679078102112
1,380,3.898618698120117
1,390,3.666221809387207
1,400,3.9265857934951782
1,410,3.8494094610214233
1,420,3.8287798881530763
1,430,3.9565615892410277
1,440,3.8642673969268797
1,450,3.581554079055786
1,460,3.989678454399109
1,470,3.6272979736328126
1,480,3.886842155456543
1,490,3.829318976402283
1,500,3.924988102912903
1,510,3.789611554145813
1,520,3.7209301471710203
1,530,3.9822733640670775
1,540,3.899329924583435
1,550,3.9232102632522583
1,560,3.9666634082794188
1,570,3.5678448915481566
1,580,3.6781516313552856
1,590,3.899354076385498
1,600,3.951585531234741
2,10,3.76129264831543
2,20,3.8865529537200927
2,30,4.0526573896408085
2,40,3.952603840827942
2,50,3.778808045387268
2,60,3.6761393785476684
2,70,3.703592801094055
2,80,3.6925206661224363
2,90,4.071521925926208
2,100,3.968345069885254
2,110,3.622234511375427
2,120,3.7515050888061525
2,130,3.999375581741333
2,140,3.8253167390823366
2,150,3.868226647377014
2,160,3.6290541648864747
2,170,3.7760011911392213
2,180,3.588196885585785
2,190,3.598483157157898
2,200,3.503632140159607
2,210,3.8019056797027586
2,220,3.8561654090881348
2,230,3.8211660385131836
2,240,3.796943926811218
2,250,3.8980572700500487
2,260,4.468452620506286
2,270,4.485104632377625
2,280,3.7297778606414793
2,290,3.677798938751221
2,300,3.806743621826172
2,310,3.781445860862732
2,320,3.8163806676864622
2,330,3.5947234869003295
2,340,3.6731619358062746
2,350,4.050467133522034
2,360,3.925692629814148
2,370,3.8440824508666993
2,380,3.9904995918273927
2,390,3.732366180419922
2,400,3.8108680963516237
2,410,3.637124180793762
2,420,3.4959668636322023
2,430,3.819771647453308
2,440,3.4852315902709963
2,450,3.845320796966553
2,460,3.9384548664093018
2,470,3.5543817281723022
2,480,3.486870455741882
2,490,3.4508474349975584
2,500,3.861942982673645
2,510,3.7540666103363036
2,520,4.072577047348022
2,530,3.896851921081543
2,540,3.609032464027405
2,550,3.86862428188324
2,560,3.876878547668457
2,570,3.640244221687317
2,580,3.5947065114974976
2,590,3.69805166721344
2,600,3.9775333166122437
