epoch,trainnum,loss
1,10,1.3894097983837128
1,20,1.4848700284957885
1,30,1.4219993501203134
1,40,1.4058116003870964
1,50,0.7828746750950814
1,60,0.5076788630555711
1,70,0.735904210805893
1,80,1.022750474512577
1,90,0.9954489767551422
1,100,0.5553163496813796
1,110,0.8940104708075524
1,120,0.9014559045433999
1,130,1.1051131010055542
2,10,1.1635143369436265
2,20,1.0059289440512658
2,30,1.3406973257660866
2,40,0.679428990030783
2,50,0.49919534772634505
2,60,0.8565386563539505
2,70,0.8315076246857643
2,80,0.8524200201034546
2,90,0.967859573662281
2,100,0.7993397518992424
2,110,0.5806260049343109
2,120,0.7181782841682434
2,130,0.6994550780393183
3,10,0.5938435200601816
3,20,0.8742402940988541
3,30,0.6015426784753799
3,40,0.6721024125814438
3,50,0.5221674794526734
3,60,0.8764813005924225
3,70,0.6155565380322514
3,80,0.6119296293020853
3,90,0.9706811830401421
3,100,0.796759769320488
3,110,0.8604445084929466
3,120,0.7341200247406959
3,130,0.5659305363893509
4,10,0.6297791570425033
4,20,0.6214554385922384
4,30,0.7516947716474534
4,40,0.6191472738981247
4,50,0.7747250705957412
4,60,0.7588351786136627
4,70,0.5020648588363045
4,80,0.6222865715622902
4,90,0.9142836794257164
4,100,0.9333302974700928
4,110,0.5802068740129471
4,120,0.7962741285562516
4,130,0.8209969446063041
5,10,0.7642376974225045
5,20,0.6468364150263369
5,30,0.4891054603333373
5,40,0.8431670500414838
5,50,0.6408018231391907
5,60,0.6928810197860003
5,70,0.7685799777507782
5,80,0.6258240759372711
5,90,0.7001011285930872
5,100,0.6236006930470467
5,110,0.5897337213158608
5,120,0.6840898156166076
5,130,0.8874033138155937
6,10,0.4846874177455902
6,20,0.7130432575941086
6,30,0.6242611989378929
6,40,0.9320185109972954
6,50,0.8041853845119477
6,60,0.847882641851902
6,70,0.727716164290905
6,80,1.097437059879303
6,90,0.8088636562228203
6,100,0.6852118015289307
6,110,0.7048092297705353
6,120,0.5517221376299858
6,130,0.9023870289325714
7,10,0.4990424007177353
7,20,0.6901525631546974
7,30,0.7714687496423721
7,40,0.7638047575950623
7,50,0.808436544239521
7,60,0.5928881734609603
7,70,0.743447495996952
7,80,0.6290653854608536
7,90,0.7908058673143387
7,100,0.7053961521327438
7,110,0.4971479192376137
7,120,0.881098349392414
7,130,0.8819111436605453
8,10,0.6667101219296455
8,20,0.9365665659304796
8,30,0.8357707381248474
8,40,0.7960353419184685
8,50,0.6671517267823219
8,60,0.6614057183265686
8,70,0.7920919984579087
8,80,0.7187665045261383
8,90,0.6954261884093285
8,100,0.5496381510049104
