epoch,trainnum,loss
1,10,319.9581359863281
1,20,311.04210205078124
1,30,321.10219421386716
1,40,322.84091796875
1,50,312.90260925292966
1,60,310.56557006835936
1,70,314.9768920898438
1,80,315.3368347167969
1,90,311.35511779785156
1,100,316.96962585449216
1,110,313.9223358154297
1,120,308.5214813232422
1,130,298.46629943847654
1,140,304.0557266235352
1,150,309.28683013916014
1,160,307.8692169189453
1,170,300.20750122070314
1,180,316.0994171142578
1,190,323.25225219726565
1,200,311.6873077392578
1,210,278.29859161376953
1,220,283.8573501586914
1,230,304.8459167480469
1,240,321.7528350830078
1,250,315.27958526611326
1,260,310.26379852294923
1,270,306.1307098388672
1,280,309.5707534790039
1,290,324.4187438964844
1,300,321.4802810668945
1,310,276.7946807861328
1,320,318.6231262207031
1,330,326.67274169921876
1,340,325.1741577148438
1,350,286.85621490478513
1,360,308.48421478271484
1,370,304.42567138671876
1,380,302.65454559326173
1,390,302.3230941772461
1,400,301.3411437988281
1,410,298.5905487060547
1,420,314.1087127685547
1,430,266.97276000976564
1,440,326.6231384277344
1,450,308.95061645507815
1,460,299.3324722290039
1,470,289.33335266113284
1,480,291.4840118408203
1,490,309.9224822998047
1,500,267.7562683105469
1,510,308.7071197509766
1,520,312.5987152099609
1,530,308.4196411132813
1,540,322.37727508544924
1,550,318.47308959960935
1,560,306.30524291992185
1,570,296.33156433105466
1,580,315.4432098388672
1,590,330.22974700927733
1,600,315.15506744384766
1,610,324.02208251953124
1,620,305.37254943847654
1,630,306.2135482788086
1,640,305.6205657958984
1,650,313.4718444824219
1,660,288.0242660522461
1,670,298.85569915771487
1,680,311.8435028076172
1,690,294.74090270996095
1,700,287.2157287597656
1,710,285.91822814941406
1,720,293.3534454345703
1,730,284.1275939941406
1,740,314.85072021484376
1,750,269.8958206176758
1,760,322.04242553710935
1,770,309.6869598388672
1,780,334.735595703125
1,790,278.2145599365234
1,800,301.7109619140625
1,810,306.0089828491211
1,820,284.6350631713867
1,830,299.4844253540039
1,840,295.12208404541013
1,850,282.62197265625
1,860,313.4929168701172
1,870,281.96747131347655
1,880,290.5891174316406
1,890,307.6410186767578
1,900,302.3407836914063
1,910,293.2026794433594
1,920,284.90184478759767
1,930,298.27832794189453
1,940,297.2560150146484
1,950,306.41722564697267
1,960,287.29444885253906
1,970,313.70611572265625
1,980,316.9629211425781
1,990,294.47201080322264
1,1000,283.3145492553711
1,1010,287.9654022216797
1,1020,308.4218246459961
1,1030,302.3322128295898
1,1040,308.6741455078125
1,1050,307.5402435302734
1,1060,285.40996704101565
1,1070,280.90794372558594
1,1080,289.8251358032227
1,1090,294.27073059082034
1,1100,322.90504455566406
1,1110,311.3567153930664
1,1120,286.56678161621096
1,1130,306.1284454345703
1,1140,289.8797103881836
1,1150,296.6951309204102
1,1160,308.89660491943357
1,1170,329.2139190673828
1,1180,294.65211181640626
1,1190,311.7637939453125
1,1200,261.10145568847656
1,1210,296.6901321411133
1,1220,307.4504058837891
1,1230,320.0065032958984
1,1240,304.99595642089844
1,1250,314.4163299560547
1,1260,296.6083389282227
1,1270,295.378727722168
1,1280,305.7676345825195
1,1290,283.84912872314453
1,1300,305.15650177001953
1,1310,296.9993621826172
1,1320,310.9684692382813
1,1330,272.1265930175781
1,1340,297.9911651611328
1,1350,325.15171813964844
1,1360,296.32045288085936
1,1370,324.8924865722656
1,1380,297.15429840087893
1,1390,298.6344329833984
1,1400,294.09656524658203
1,1410,319.83580627441404
1,1420,296.58433837890624
1,1430,303.3218368530273
1,1440,295.5828201293945
1,1450,285.82764739990233
1,1460,304.9430816650391
1,1470,306.43738861083983
1,1480,284.72392120361326
1,1490,284.7097686767578
1,1500,312.33018798828124
1,1510,315.8160400390625
1,1520,304.9232711791992
1,1530,299.59593200683594
1,1540,302.8295364379883
1,1550,306.5206726074219
1,1560,298.93250732421876
1,1570,293.64561462402344
1,1580,308.32010345458986
1,1590,305.1092224121094
1,1600,310.7424057006836
1,1610,317.12767639160154
1,1620,294.91502532958987
1,1630,299.1980712890625
1,1640,299.7686431884766
1,1650,314.1679351806641
1,1660,307.35770111083986
1,1670,297.2110260009766
1,1680,316.0174896240234
1,1690,316.4753173828125
1,1700,293.27378234863284
1,1710,301.4348937988281
1,1720,304.7564422607422
1,1730,292.0538864135742
1,1740,292.0664749145508
1,1750,305.6566192626953
1,1760,284.9554611206055
1,1770,308.3522979736328
1,1780,296.5208038330078
1,1790,294.4744155883789
1,1800,282.36803283691404
1,1810,305.4895416259766
1,1820,288.1745071411133
1,1830,287.55117950439455
1,1840,311.07857208251954
1,1850,304.6430694580078
1,1860,308.3493179321289
1,1870,299.4711212158203
1,1880,298.25121612548827
1,1890,300.5911666870117
1,1900,270.90427551269534
1,1910,314.8920593261719
1,1920,304.2353912353516
1,1930,327.5471588134766
1,1940,303.2774139404297
1,1950,290.47112426757815
1,1960,304.7914291381836
1,1970,288.2339263916016
1,1980,306.9131774902344
1,1990,307.6885284423828
1,2000,307.0048233032227
1,2010,321.58738098144534
1,2020,336.0213592529297
1,2030,303.6585266113281
1,2040,302.27410278320315
1,2050,322.1681304931641
1,2060,292.55908966064453
1,2070,332.2979431152344
1,2080,279.59275512695314
1,2090,305.69636993408204
1,2100,293.54371337890626
1,2110,296.70841827392576
1,2120,299.82303619384766
1,2130,298.7228744506836
1,2140,314.0543243408203
1,2150,331.1799560546875
1,2160,299.89866333007814
1,2170,295.565119934082
1,2180,311.1204559326172
1,2190,302.2091400146484
1,2200,287.96590728759764
1,2210,302.4454803466797
1,2220,305.68848876953126
1,2230,324.03936767578125
1,2240,322.4850143432617
1,2250,301.5398223876953
1,2260,296.42162628173827
1,2270,305.7336883544922
1,2280,305.8464050292969
1,2290,301.00995483398435
1,2300,310.80841674804685
1,2310,294.76574554443357
1,2320,290.956608581543
1,2330,307.54310150146483
1,2340,318.82537231445315
1,2350,314.22960205078124
1,2360,302.8124404907227
1,2370,283.48218536376953
1,2380,312.9220260620117
1,2390,313.8575164794922
1,2400,307.9376983642578
1,2410,278.6376647949219
1,2420,317.21533966064453
1,2430,291.76426391601564
1,2440,296.86532135009764
1,2450,307.98382263183595
1,2460,277.4060394287109
1,2470,299.1586639404297
1,2480,301.84141540527344
1,2490,300.87105865478514
1,2500,290.71558380126953
1,2510,293.1664520263672
1,2520,311.32184448242185
1,2530,318.5619689941406
1,2540,295.8740631103516
1,2550,290.86481018066405
1,2560,306.25231170654297
1,2570,310.1499847412109
1,2580,323.6371704101563
1,2590,292.11357421875
1,2600,291.6947189331055
1,2610,290.32150115966795
1,2620,312.4996795654297
1,2630,303.01727905273435
1,2640,286.46751098632814
1,2650,314.7189239501953
1,2660,302.98876953125
1,2670,313.96880798339845
1,2680,298.59867095947266
1,2690,307.4569091796875
1,2700,303.63794403076173
1,2710,299.2513427734375
